time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-10T17:34:42.060Z,19.4708328,-155.1823273,10.06,2,ml,13,325,0.08811,0.13,hv,hv70258437,2018-06-10T17:40:24.100Z,"7km NE of Volcano, Hawaii",earthquake,2.44,3.89,0.07,4,automatic,hv,hv
2018-06-10T17:30:39.250Z,19.4020004,-155.264328,0.75,2.47,ml,23,66,0.00407,0.12,hv,hv70258427,2018-06-10T17:36:20.100Z,"4km SW of Volcano, Hawaii",earthquake,0.22,0.18,0.42,12,automatic,hv,hv
2018-06-10T17:17:24.590Z,33.1696667,-116.5088333,15.71,1.05,ml,32,38,0.1156,0.18,ci,ci38195160,2018-06-10T17:28:24.890Z,"13km NE of Julian, CA",earthquake,0.32,0.62,0.141,27,automatic,ci,ci
2018-06-10T17:17:01.620Z,38.829834,-122.7651672,1.36,0.44,md,10,137,0.003761,0.12,nc,nc73028406,2018-06-10T17:48:01.250Z,"4km WNW of Cobb, CA",earthquake,0.51,0.84,0.06,2,automatic,nc,nc
2018-06-10T17:16:44.270Z,19.416666,-155.2763367,0.63,2.26,ml,28,39,0.007391,0.13,hv,hv70258382,2018-06-10T17:22:25.910Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.13,0.3,13,automatic,hv,hv
2018-06-10T17:16:35.917Z,63.5123,-149.6434,104.4,1.8,ml,,,,0.36,ak,ak19754580,2018-06-10T17:22:10.016Z,"37km WNW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-06-10T17:10:51.041Z,63.7722,-149.0342,4.6,1.6,ml,,,,0.51,ak,ak19754575,2018-06-10T17:26:37.331Z,"10km SSW of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-10T17:07:17.830Z,33.511,-116.7901667,4.28,0.53,ml,19,44,0.06995,0.13,ci,ci38195152,2018-06-10T17:10:54.641Z,"10km NE of Aguanga, CA",earthquake,0.21,0.51,0.08,16,automatic,ci,ci
2018-06-10T17:00:59.350Z,19.4096661,-155.2734985,0.56,2.04,ml,21,59,0.01278,0.2,hv,hv70258332,2018-06-10T17:06:41.750Z,"4km WSW of Volcano, Hawaii",earthquake,0.21,0.25,0.29,14,automatic,hv,hv
2018-06-10T17:00:47.760Z,68.2141,-145.7809,0,1.6,ml,,,,0.72,ak,ak19754572,2018-06-10T17:08:35.031Z,"14km NW of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-10T16:56:47.670Z,19.4046669,-155.2866669,0.6,1.89,ml,21,64,0.01315,0.14,hv,hv70258317,2018-06-10T17:02:33.050Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.19,0.25,10,automatic,hv,hv
2018-06-10T16:52:21.060Z,18.0296,-66.7821,12,2.06,md,15,145,0.1113,0.28,pr,pr2018161006,2018-06-10T17:10:57.451Z,"1km NE of Guayanilla, Puerto Rico",earthquake,0.47,0.75,0.29,12,reviewed,pr,pr
2018-06-10T16:26:57.670Z,36.1045,-97.7482,6.15,2.2,mb_lg,,37,0.05,0.17,us,us1000ems5,2018-06-10T19:13:43.040Z,"13km E of Hennessey, Oklahoma",earthquake,1.1,2.2,0.117,19,reviewed,us,us
2018-06-10T16:17:35.010Z,64.696,-149.6226,20,1.1,ml,,,,0.73,ak,ak19753836,2018-06-10T16:32:58.686Z,"27km WNW of North Nenana, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-06-10T16:16:01.320Z,19.4098339,-155.2543335,0.11,2.57,ml,26,60,0.005692,0.24,hv,hv70258192,2018-06-10T16:21:44.880Z,"2km SW of Volcano, Hawaii",earthquake,0.21,0.25,0.43,15,automatic,hv,hv
2018-06-10T16:11:07.520Z,83.8923,-1.4365,10,4.4,mb,,67,5.365,0.75,us,us1000ems1,2018-06-10T16:57:36.040Z,"North of Svalbard",earthquake,3.8,1.9,0.067,65,reviewed,us,us
2018-06-10T16:10:56.570Z,19.4081669,-155.2793274,0.44,1.7,ml,18,62,0.01046,0.12,hv,hv70258167,2018-06-10T16:16:36.800Z,"5km WSW of Volcano, Hawaii",earthquake,0.17,0.2,0.23,8,automatic,hv,hv
2018-06-10T16:09:13.740Z,34.1043333,-116.9211667,4.77,0.87,ml,13,173,0.01627,0.17,ci,ci38195136,2018-06-10T16:12:45.524Z,"14km NE of Yucaipa, CA",earthquake,0.7,0.53,0.137,15,automatic,ci,ci
2018-06-10T16:01:34.710Z,19.3846664,-155.2716675,3.11,1.82,ml,13,129,0.009665,0.2,hv,hv70258142,2018-06-10T16:07:13.780Z,"6km SW of Volcano, Hawaii",earthquake,0.7,0.73,0.27,5,automatic,hv,hv
2018-06-10T16:00:24.059Z,59.6756,-153.1819,110.7,1.7,ml,,,,0.51,ak,ak19753830,2018-06-10T16:04:51.739Z,"76km W of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
